date,park,time,courts,applications,ratio
20221101,日比谷公園,900-1100,5,7,1.4
20221102,日比谷公園,900-1100,5,19,3.8
20221103,日比谷公園,900-1100,5,74,14.8
20221104,日比谷公園,900-1100,5,16,3.2
20221105,日比谷公園,900-1100,5,66,13.2
20221106,日比谷公園,900-1100,5,68,13.6
20221101,日比谷公園,1100-1300,5,16,3.2
20221102,日比谷公園,1100-1300,5,24,4.8
20221103,日比谷公園,1100-1300,5,117,23.4
20221104,日比谷公園,1100-1300,5,25,5.0
20221105,日比谷公園,1100-1300,5,69,13.8
20221106,日比谷公園,1100-1300,5,91,18.2
20221107,日比谷公園,1100-1300,5,18,3.6
20221101,日比谷公園,1300-1500,5,21,4.2
20221102,日比谷公園,1300-1500,5,34,6.8
20221103,日比谷公園,1300-1500,5,86,17.2
20221104,日比谷公園,1300-1500,5,18,3.6
20221105,日比谷公園,1300-1500,5,140,28.0
20221106,日比谷公園,1300-1500,5,82,16.4
20221107,日比谷公園,1300-1500,5,12,2.4
20221101,日比谷公園,1500-1700,5,9,1.8
20221102,日比谷公園,1500-1700,5,6,1.2
20221103,日比谷公園,1500-1700,5,63,12.6
20221104,日比谷公園,1500-1700,5,16,3.2
20221105,日比谷公園,1500-1700,5,114,22.8
20221106,日比谷公園,1500-1700,5,74,14.8
20221107,日比谷公園,1500-1700,5,7,1.4
20221101,日比谷公園,1700-1900,5,6,1.2
20221102,日比谷公園,1700-1900,5,13,2.6
20221103,日比谷公園,1700-1900,5,33,6.6
20221104,日比谷公園,1700-1900,5,11,2.2
20221105,日比谷公園,1700-1900,5,54,10.8
20221106,日比谷公園,1700-1900,5,41,8.2
20221107,日比谷公園,1700-1900,5,22,4.4
20221101,日比谷公園,1900-2100,5,37,7.4
20221102,日比谷公園,1900-2100,5,40,8.0
20221103,日比谷公園,1900-2100,5,25,5.0
20221104,日比谷公園,1900-2100,5,53,10.6
20221105,日比谷公園,1900-2100,5,24,4.8
20221106,日比谷公園,1900-2100,5,29,5.8
20221107,日比谷公園,1900-2100,5,27,5.4
20221108,日比谷公園,900-1100,5,7,1.4
20221109,日比谷公園,900-1100,5,14,2.8
20221110,日比谷公園,900-1100,5,27,5.4
20221111,日比谷公園,900-1100,5,12,2.4
20221112,日比谷公園,900-1100,5,64,12.8
20221113,日比谷公園,900-1100,5,75,15.0
20221114,日比谷公園,900-1100,5,3,0.6
20221108,日比谷公園,1100-1300,5,36,7.2
20221109,日比谷公園,1100-1300,5,78,15.6
20221110,日比谷公園,1100-1300,5,50,10.0
20221111,日比谷公園,1100-1300,5,26,5.2
20221112,日比谷公園,1100-1300,5,76,15.2
20221113,日比谷公園,1100-1300,5,67,13.4
20221114,日比谷公園,1100-1300,5,24,4.8
20221108,日比谷公園,1300-1500,5,34,6.8
20221109,日比谷公園,1300-1500,5,63,12.6
20221110,日比谷公園,1300-1500,5,17,3.4
20221111,日比谷公園,1300-1500,5,11,2.2
20221112,日比谷公園,1300-1500,5,79,15.8
20221113,日比谷公園,1300-1500,5,68,13.6
20221114,日比谷公園,1300-1500,5,23,4.6
20221108,日比谷公園,1500-1700,5,5,1.0
20221109,日比谷公園,1500-1700,5,5,1.0
20221110,日比谷公園,1500-1700,5,13,2.6
20221111,日比谷公園,1500-1700,5,11,2.2
20221112,日比谷公園,1500-1700,5,100,20.0
20221113,日比谷公園,1500-1700,5,77,15.4
20221114,日比谷公園,1500-1700,5,1,0.2
20221108,日比谷公園,1700-1900,5,9,1.8
20221109,日比谷公園,1700-1900,5,17,3.4
20221110,日比谷公園,1700-1900,5,12,2.4
20221111,日比谷公園,1700-1900,5,23,4.6
20221112,日比谷公園,1700-1900,5,59,11.8
20221113,日比谷公園,1700-1900,5,35,7.0
20221114,日比谷公園,1700-1900,5,20,4.0
20221108,日比谷公園,1900-2100,5,38,7.6
20221109,日比谷公園,1900-2100,5,94,18.8
20221110,日比谷公園,1900-2100,5,66,13.2
20221111,日比谷公園,1900-2100,5,44,8.8
20221112,日比谷公園,1900-2100,5,37,7.4
20221113,日比谷公園,1900-2100,5,25,5.0
20221114,日比谷公園,1900-2100,5,26,5.2
20221115,日比谷公園,900-1100,5,12,2.4
20221116,日比谷公園,900-1100,5,14,2.8
20221117,日比谷公園,900-1100,5,23,4.6
20221118,日比谷公園,900-1100,5,10,2.0
20221119,日比谷公園,900-1100,5,50,10.0
20221120,日比谷公園,900-1100,5,90,18.0
20221115,日比谷公園,1100-1300,5,32,6.4
20221116,日比谷公園,1100-1300,5,49,9.8
20221117,日比谷公園,1100-1300,5,48,9.6
20221118,日比谷公園,1100-1300,5,27,5.4
20221119,日比谷公園,1100-1300,5,73,14.6
20221120,日比谷公園,1100-1300,5,98,19.6
20221121,日比谷公園,1100-1300,5,16,3.2
20221115,日比谷公園,1300-1500,5,24,4.8
20221116,日比谷公園,1300-1500,5,51,10.2
20221117,日比谷公園,1300-1500,5,34,6.8
20221118,日比谷公園,1300-1500,5,20,4.0
20221119,日比谷公園,1300-1500,5,84,16.8
20221120,日比谷公園,1300-1500,5,124,24.8
20221121,日比谷公園,1300-1500,5,7,1.4
20221115,日比谷公園,1500-1700,5,5,1.0
20221116,日比谷公園,1500-1700,5,5,1.0
20221117,日比谷公園,1500-1700,5,14,2.8
20221118,日比谷公園,1500-1700,5,19,3.8
20221119,日比谷公園,1500-1700,5,122,24.4
20221120,日比谷公園,1500-1700,5,79,15.8
20221121,日比谷公園,1500-1700,5,7,1.4
20221115,日比谷公園,1700-1900,5,6,1.2
20221116,日比谷公園,1700-1900,5,16,3.2
20221117,日比谷公園,1700-1900,5,8,1.6
20221118,日比谷公園,1700-1900,5,19,3.8
20221119,日比谷公園,1700-1900,5,59,11.8
20221120,日比谷公園,1700-1900,5,31,6.2
20221121,日比谷公園,1700-1900,5,7,1.4
20221115,日比谷公園,1900-2100,5,53,10.6
20221116,日比谷公園,1900-2100,5,46,9.2
20221117,日比谷公園,1900-2100,5,57,11.4
20221118,日比谷公園,1900-2100,5,52,10.4
20221119,日比谷公園,1900-2100,5,26,5.2
20221120,日比谷公園,1900-2100,5,29,5.8
20221121,日比谷公園,1900-2100,5,28,5.6
20221122,日比谷公園,900-1100,5,10,2.0
20221123,日比谷公園,900-1100,5,71,14.2
20221124,日比谷公園,900-1100,5,19,3.8
20221125,日比谷公園,900-1100,5,11,2.2
20221126,日比谷公園,900-1100,5,61,12.2
20221127,日比谷公園,900-1100,5,81,16.2
20221128,日比谷公園,900-1100,5,3,0.6
20221122,日比谷公園,1100-1300,5,26,5.2
20221123,日比谷公園,1100-1300,5,106,21.2
20221124,日比谷公園,1100-1300,5,44,8.8
20221125,日比谷公園,1100-1300,5,27,5.4
20221126,日比谷公園,1100-1300,5,89,17.8
20221127,日比谷公園,1100-1300,5,73,14.6
20221128,日比谷公園,1100-1300,5,20,4.0
20221122,日比谷公園,1300-1500,5,14,2.8
20221123,日比谷公園,1300-1500,5,100,20.0
20221124,日比谷公園,1300-1500,5,13,2.6
20221125,日比谷公園,1300-1500,5,16,3.2
20221126,日比谷公園,1300-1500,5,91,18.2
20221127,日比谷公園,1300-1500,5,72,14.4
20221128,日比谷公園,1300-1500,5,87,17.4
20221122,日比谷公園,1500-1700,5,13,2.6
20221123,日比谷公園,1500-1700,5,69,13.8
20221124,日比谷公園,1500-1700,5,5,1.0
20221125,日比谷公園,1500-1700,5,8,1.6
20221126,日比谷公園,1500-1700,5,99,19.8
