date,park,time,courts,applications,ratio
20220901,日比谷公園,900-1100,5,14,2.8
20220902,日比谷公園,900-1100,5,10,2.0
20220903,日比谷公園,900-1100,5,46,9.2
20220904,日比谷公園,900-1100,5,63,12.6
20220906,日比谷公園,900-1100,5,9,1.8
20220907,日比谷公園,900-1100,5,15,3.0
20220901,日比谷公園,1100-1300,5,20,4.0
20220902,日比谷公園,1100-1300,5,22,4.4
20220903,日比谷公園,1100-1300,5,48,9.6
20220904,日比谷公園,1100-1300,5,87,17.4
20220905,日比谷公園,1100-1300,5,19,3.8
20220906,日比谷公園,1100-1300,5,25,5.0
20220907,日比谷公園,1100-1300,5,41,8.2
20220901,日比谷公園,1300-1500,5,5,1.0
20220902,日比谷公園,1300-1500,5,18,3.6
20220903,日比谷公園,1300-1500,5,21,4.2
20220904,日比谷公園,1300-1500,5,16,3.2
20220905,日比谷公園,1300-1500,5,3,0.6
20220906,日比谷公園,1300-1500,5,14,2.8
20220907,日比谷公園,1300-1500,5,27,5.4
20220901,日比谷公園,1500-1700,5,7,1.4
20220902,日比谷公園,1500-1700,5,9,1.8
20220903,日比谷公園,1500-1700,5,77,15.4
20220904,日比谷公園,1500-1700,5,50,10.0
20220905,日比谷公園,1500-1700,5,2,0.4
20220906,日比谷公園,1500-1700,5,5,1.0
20220907,日比谷公園,1500-1700,5,1,0.2
20220901,日比谷公園,1700-1900,5,2,0.4
20220902,日比谷公園,1700-1900,5,6,1.2
20220903,日比谷公園,1700-1900,5,77,15.4
20220904,日比谷公園,1700-1900,5,33,6.6
20220905,日比谷公園,1700-1900,5,1,0.2
20220906,日比谷公園,1700-1900,5,8,1.6
20220907,日比谷公園,1700-1900,5,11,2.2
20220901,日比谷公園,1900-2100,5,17,3.4
20220902,日比谷公園,1900-2100,5,23,4.6
20220903,日比谷公園,1900-2100,5,13,2.6
20220904,日比谷公園,1900-2100,5,21,4.2
20220905,日比谷公園,1900-2100,5,11,2.2
20220906,日比谷公園,1900-2100,5,10,2.0
20220907,日比谷公園,1900-2100,5,23,4.6
20220908,日比谷公園,900-1100,5,13,2.6
20220909,日比谷公園,900-1100,5,9,1.8
20220910,日比谷公園,900-1100,5,66,13.2
20220911,日比谷公園,900-1100,5,59,11.8
20220912,日比谷公園,900-1100,5,0,0.0
20220913,日比谷公園,900-1100,5,10,2.0
