date,park,time,courts,applications,ratio
20221001,日比谷公園,900-1100,5,54,10.8
20221002,日比谷公園,900-1100,5,82,16.4
20221004,日比谷公園,900-1100,5,9,1.8
20221005,日比谷公園,900-1100,5,15,3.0
20221006,日比谷公園,900-1100,5,19,3.8
20221007,日比谷公園,900-1100,5,13,2.6
20221001,日比谷公園,1100-1300,5,53,10.6
20221002,日比谷公園,1100-1300,5,89,17.8
20221003,日比谷公園,1100-1300,5,11,2.2
20221004,日比谷公園,1100-1300,5,2,0.4
20221005,日比谷公園,1100-1300,5,45,9.0
20221006,日比谷公園,1100-1300,5,37,7.4
20221007,日比谷公園,1100-1300,5,25,5.0
20221001,日比谷公園,1300-1500,5,56,11.2
20221002,日比谷公園,1300-1500,5,75,15.0
20221003,日比谷公園,1300-1500,5,11,2.2
20221004,日比谷公園,1300-1500,5,35,7.0
20221005,日比谷公園,1300-1500,5,27,5.4
20221006,日比谷公園,1300-1500,5,30,6.0
20221007,日比谷公園,1300-1500,5,19,3.8
20221001,日比谷公園,1500-1700,5,71,14.2
20221002,日比谷公園,1500-1700,5,75,15.0
20221003,日比谷公園,1500-1700,5,6,1.2
20221004,日比谷公園,1500-1700,5,13,2.6
20221005,日比谷公園,1500-1700,5,6,1.2
20221006,日比谷公園,1500-1700,5,13,2.6
20221007,日比谷公園,1500-1700,5,20,4.0
20221001,日比谷公園,1700-1900,5,35,7.0
20221002,日比谷公園,1700-1900,5,44,8.8
20221003,日比谷公園,1700-1900,5,8,1.6
20221004,日比谷公園,1700-1900,5,8,1.6
20221005,日比谷公園,1700-1900,5,10,2.0
20221006,日比谷公園,1700-1900,5,6,1.2
20221007,日比谷公園,1700-1900,5,5,1.0
20221001,日比谷公園,1900-2100,5,23,4.6
20221002,日比谷公園,1900-2100,5,19,3.8
20221003,日比谷公園,1900-2100,5,23,4.6
20221004,日比谷公園,1900-2100,5,27,5.4
20221005,日比谷公園,1900-2100,5,27,5.4
20221006,日比谷公園,1900-2100,5,36,7.2
20221007,日比谷公園,1900-2100,5,43,8.6
20221008,日比谷公園,900-1100,5,71,14.2
20221009,日比谷公園,900-1100,5,146,29.2
20221010,日比谷公園,900-1100,5,93,18.6
20221011,日比谷公園,900-1100,5,10,2.0
20221012,日比谷公園,900-1100,5,16,3.2
20221013,日比谷公園,900-1100,5,25,5.0
20221014,日比谷公園,900-1100,5,17,3.4
20221008,日比谷公園,1100-1300,5,74,14.8
20221009,日比谷公園,1100-1300,5,76,15.2
