date,park,time,courts,applications,ratio
20221201,日比谷公園,900-1100,5,20,4.0
20221202,日比谷公園,900-1100,5,20,4.0
20221203,日比谷公園,900-1100,5,96,19.2
20221206,日比谷公園,900-1100,5,17,3.4
20221207,日比谷公園,900-1100,5,17,3.4
20221201,日比谷公園,1100-1300,5,28,5.6
20221202,日比谷公園,1100-1300,5,35,7.0
20221203,日比谷公園,1100-1300,5,149,29.8
20221205,日比谷公園,1100-1300,5,20,4.0
20221206,日比谷公園,1100-1300,5,30,6.0
20221207,日比谷公園,1100-1300,5,20,4.0
20221201,日比谷公園,1300-1500,5,16,3.2
20221202,日比谷公園,1300-1500,5,19,3.8
20221203,日比谷公園,1300-1500,5,124,24.8
20221205,日比谷公園,1300-1500,5,12,2.4
20221206,日比谷公園,1300-1500,5,39,7.8
20221207,日比谷公園,1300-1500,5,35,7.0
20221201,日比谷公園,1500-1700,5,7,1.4
20221202,日比谷公園,1500-1700,5,19,3.8
20221203,日比谷公園,1500-1700,5,96,19.2
20221205,日比谷公園,1500-1700,5,9,1.8
20221206,日比谷公園,1500-1700,5,10,2.0
20221207,日比谷公園,1500-1700,5,17,3.4
20221201,日比谷公園,1700-1900,5,9,1.8
20221202,日比谷公園,1700-1900,5,43,8.6
20221203,日比谷公園,1700-1900,5,54,10.8
20221204,日比谷公園,1700-1900,5,47,9.4
20221205,日比谷公園,1700-1900,5,8,1.6
20221206,日比谷公園,1700-1900,5,11,2.2
20221207,日比谷公園,1700-1900,5,16,3.2
20221201,日比谷公園,1900-2100,5,61,12.2
20221202,日比谷公園,1900-2100,5,77,15.4
20221203,日比谷公園,1900-2100,5,41,8.2
20221204,日比谷公園,1900-2100,5,53,10.6
20221205,日比谷公園,1900-2100,5,34,6.8
20221206,日比谷公園,1900-2100,5,45,9.0
20221207,日比谷公園,1900-2100,5,46,9.2
20221208,日比谷公園,900-1100,5,20,4.0
20221209,日比谷公園,900-1100,5,60,12.0
20221210,日比谷公園,900-1100,5,115,23.0
20221211,日比谷公園,900-1100,5,183,36.6
20221212,日比谷公園,900-1100,5,22,4.4
20221213,日比谷公園,900-1100,5,24,4.8
20221214,日比谷公園,900-1100,5,18,3.6
20221208,日比谷公園,1100-1300,5,31,6.2
20221209,日比谷公園,1100-1300,5,28,5.6
20221210,日比谷公園,1100-1300,5,137,27.4
20221211,日比谷公園,1100-1300,5,154,30.8
20221212,日比谷公園,1100-1300,5,35,7.0
20221213,日比谷公園,1100-1300,5,57,11.4
20221214,日比谷公園,1100-1300,5,75,15.0
20221208,日比谷公園,1300-1500,5,26,5.2
20221209,日比谷公園,1300-1500,5,20,4.0
20221210,日比谷公園,1300-1500,5,123,24.6
20221211,日比谷公園,1300-1500,5,133,26.6
20221212,日比谷公園,1300-1500,5,37,7.4
20221213,日比谷公園,1300-1500,5,37,7.4
20221214,日比谷公園,1300-1500,5,49,9.8
20221208,日比谷公園,1500-1700,5,16,3.2
20221209,日比谷公園,1500-1700,5,29,5.8
20221210,日比谷公園,1500-1700,5,139,27.8
20221211,日比谷公園,1500-1700,5,94,18.8
20221212,日比谷公園,1500-1700,5,9,1.8
20221213,日比谷公園,1500-1700,5,10,2.0
20221214,日比谷公園,1500-1700,5,12,2.4
20221208,日比谷公園,1700-1900,5,10,2.0
20221209,日比谷公園,1700-1900,5,12,2.4
20221210,日比谷公園,1700-1900,5,51,10.2
20221211,日比谷公園,1700-1900,5,54,10.8
20221212,日比谷公園,1700-1900,5,13,2.6
20221213,日比谷公園,1700-1900,5,11,2.2
20221214,日比谷公園,1700-1900,5,15,3.0
20221208,日比谷公園,1900-2100,5,100,20.0
20221209,日比谷公園,1900-2100,5,42,8.4
20221210,日比谷公園,1900-2100,5,35,7.0
20221211,日比谷公園,1900-2100,5,31,6.2
20221212,日比谷公園,1900-2100,5,36,7.2
20221213,日比谷公園,1900-2100,5,55,11.0
20221214,日比谷公園,1900-2100,5,48,9.6
20221215,日比谷公園,900-1100,5,15,3.0
20221216,日比谷公園,900-1100,5,20,4.0
20221217,日比谷公園,900-1100,5,90,18.0
20221218,日比谷公園,900-1100,5,117,23.4
20221220,日比谷公園,900-1100,5,7,1.4
20221221,日比谷公園,900-1100,5,15,3.0
20221215,日比谷公園,1100-1300,5,33,6.6
20221216,日比谷公園,1100-1300,5,40,8.0
20221217,日比谷公園,1100-1300,5,94,18.8
20221218,日比谷公園,1100-1300,5,116,23.2
20221219,日比谷公園,1100-1300,5,17,3.4
20221220,日比谷公園,1100-1300,5,29,5.8
20221221,日比谷公園,1100-1300,5,78,15.6
20221215,日比谷公園,1300-1500,5,34,6.8
20221216,日比谷公園,1300-1500,5,26,5.2
20221217,日比谷公園,1300-1500,5,146,29.2
20221218,日比谷公園,1300-1500,5,115,23.0
20221219,日比谷公園,1300-1500,5,24,4.8
20221220,日比谷公園,1300-1500,5,52,10.4
20221221,日比谷公園,1300-1500,5,51,10.2
20221215,日比谷公園,1500-1700,5,10,2.0
20221216,日比谷公園,1500-1700,5,18,3.6
20221217,日比谷公園,1500-1700,5,92,18.4
20221218,日比谷公園,1500-1700,5,63,12.6
20221219,日比谷公園,1500-1700,5,31,6.2
20221220,日比谷公園,1500-1700,5,31,6.2
20221221,日比谷公園,1500-1700,5,9,1.8
20221215,日比谷公園,1700-1900,5,13,2.6
20221216,日比谷公園,1700-1900,5,44,8.8
20221217,日比谷公園,1700-1900,5,51,10.2
20221218,日比谷公園,1700-1900,5,65,13.0
20221219,日比谷公園,1700-1900,5,13,2.6
20221220,日比谷公園,1700-1900,5,12,2.4
20221221,日比谷公園,1700-1900,5,28,5.6
20221215,日比谷公園,1900-2100,5,44,8.8
20221216,日比谷公園,1900-2100,5,71,14.2
20221217,日比谷公園,1900-2100,5,41,8.2
20221218,日比谷公園,1900-2100,5,16,3.2
20221219,日比谷公園,1900-2100,5,34,6.8
20221220,日比谷公園,1900-2100,5,51,10.2
20221221,日比谷公園,1900-2100,5,43,8.6
20221222,日比谷公園,900-1100,5,27,5.4
20221223,日比谷公園,900-1100,5,10,2.0
20221224,日比谷公園,900-1100,5,66,13.2
20221225,日比谷公園,900-1100,5,87,17.4
20221226,日比谷公園,900-1100,5,29,5.8
20221227,日比谷公園,900-1100,5,29,5.8
20221228,日比谷公園,900-1100,5,8,1.6
20221222,日比谷公園,1100-1300,5,19,3.8
20221223,日比谷公園,1100-1300,5,38,7.6
20221224,日比谷公園,1100-1300,5,63,12.6
20221225,日比谷公園,1100-1300,5,86,17.2
20221226,日比谷公園,1100-1300,5,12,2.4
20221227,日比谷公園,1100-1300,5,34,6.8
20221228,日比谷公園,1100-1300,5,44,8.8
20221222,日比谷公園,1300-1500,5,14,2.8
20221223,日比谷公園,1300-1500,5,16,3.2
20221224,日比谷公園,1300-1500,5,56,11.2
20221225,日比谷公園,1300-1500,5,79,15.8
20221226,日比谷公園,1300-1500,5,34,6.8
20221227,日比谷公園,1300-1500,5,31,6.2
20221228,日比谷公園,1300-1500,5,37,7.4
20221222,日比谷公園,1500-1700,5,9,1.8
20221223,日比谷公園,1500-1700,5,8,1.6
20221224,日比谷公園,1500-1700,5,44,8.8
20221225,日比谷公園,1500-1700,5,64,12.8
20221226,日比谷公園,1500-1700,5,40,8.0
20221227,日比谷公園,1500-1700,5,18,3.6
20221228,日比谷公園,1500-1700,5,10,2.0
20221222,日比谷公園,1700-1900,5,10,2.0
20221223,日比谷公園,1700-1900,5,11,2.2
20221224,日比谷公園,1700-1900,5,23,4.6
20221225,日比谷公園,1700-1900,5,18,3.6
20221226,日比谷公園,1700-1900,5,8,1.6
20221227,日比谷公園,1700-1900,5,5,1.0
20221228,日比谷公園,1700-1900,5,8,1.6
20221222,日比谷公園,1900-2100,5,32,6.4
20221223,日比谷公園,1900-2100,5,21,4.2
20221224,日比谷公園,1900-2100,5,11,2.2
20221225,日比谷公園,1900-2100,5,31,6.2
20221226,日比谷公園,1900-2100,5,32,6.4
20221227,日比谷公園,1900-2100,5,21,4.2
20221228,日比谷公園,1900-2100,5,22,4.4
20221229,日比谷公園,900-1100,5,20,4.0
20221230,日比谷公園,900-1100,5,23,4.6
20221229,日比谷公園,1100-1300,5,41,8.2
20221230,日比谷公園,1100-1300,5,39,7.8
20221229,日比谷公園,1300-1500,5,68,13.6
20221230,日比谷公園,1300-1500,5,49,9.8
20221229,日比谷公園,1500-1700,5,20,4.0
20221230,日比谷公園,1500-1700,5,35,7.0
20221229,日比谷公園,1700-1900,5,14,2.8
20221230,日比谷公園,1700-1900,5,9,1.8
20221229,日比谷公園,1900-2100,5,17,3.4
20221230,日比谷公園,1900-2100,5,19,3.8
20221201,芝公園,900-1100,3,12,4.0
20221202,芝公園,900-1100,3,10,3.3333333333333335
20221203,芝公園,900-1100,3,40,13.333333333333334
20221204,芝公園,900-1100,3,96,32.0
20221206,芝公園,900-1100,3,11,3.6666666666666665
20221207,芝公園,900-1100,3,7,2.3333333333333335
20221201,芝公園,1100-1300,3,14,4.666666666666667
20221202,芝公園,1100-1300,3,11,3.6666666666666665
20221203,芝公園,1100-1300,3,40,13.333333333333334
20221204,芝公園,1100-1300,3,74,24.666666666666668
20221206,芝公園,1100-1300,3,7,2.3333333333333335
20221207,芝公園,1100-1300,3,10,3.3333333333333335
20221201,芝公園,1300-1500,3,19,6.333333333333333
20221202,芝公園,1300-1500,3,6,2.0
20221203,芝公園,1300-1500,3,64,21.333333333333332
20221204,芝公園,1300-1500,3,52,17.333333333333332
20221206,芝公園,1300-1500,3,11,3.6666666666666665
20221207,芝公園,1300-1500,3,21,7.0
20221201,芝公園,1500-1700,3,5,1.6666666666666667
20221202,芝公園,1500-1700,3,14,4.666666666666667
20221203,芝公園,1500-1700,3,43,14.333333333333334
20221204,芝公園,1500-1700,3,64,21.333333333333332
20221206,芝公園,1500-1700,3,5,1.6666666666666667
20221207,芝公園,1500-1700,3,16,5.333333333333333
20221201,芝公園,1700-1900,3,6,2.0
20221202,芝公園,1700-1900,3,8,2.6666666666666665
20221203,芝公園,1700-1900,3,39,13.0
20221204,芝公園,1700-1900,3,36,12.0
20221205,芝公園,1700-1900,3,9,3.0
20221206,芝公園,1700-1900,3,4,1.3333333333333333
20221207,芝公園,1700-1900,3,13,4.333333333333333
20221201,芝公園,1900-2100,3,15,5.0
20221202,芝公園,1900-2100,3,15,5.0
20221203,芝公園,1900-2100,3,19,6.333333333333333
20221204,芝公園,1900-2100,3,30,10.0
20221205,芝公園,1900-2100,3,7,2.3333333333333335
20221206,芝公園,1900-2100,3,18,6.0
20221207,芝公園,1900-2100,3,25,8.333333333333334
20221208,芝公園,900-1100,3,9,3.0
20221209,芝公園,900-1100,3,12,4.0
20221210,芝公園,900-1100,3,41,13.666666666666666
20221211,芝公園,900-1100,3,46,15.333333333333334
20221213,芝公園,900-1100,3,10,3.3333333333333335
20221214,芝公園,900-1100,3,5,1.6666666666666667
20221208,芝公園,1100-1300,3,23,7.666666666666667
20221209,芝公園,1100-1300,3,18,6.0
20221210,芝公園,1100-1300,3,76,25.333333333333332
20221211,芝公園,1100-1300,3,58,19.333333333333332
20221213,芝公園,1100-1300,3,28,9.333333333333334
20221214,芝公園,1100-1300,3,19,6.333333333333333
20221208,芝公園,1300-1500,3,21,7.0
20221209,芝公園,1300-1500,3,13,4.333333333333333
20221210,芝公園,1300-1500,3,69,23.0
20221211,芝公園,1300-1500,3,75,25.0
20221212,芝公園,1300-1500,3,12,4.0
20221213,芝公園,1300-1500,3,13,4.333333333333333
20221214,芝公園,1300-1500,3,8,2.6666666666666665
20221208,芝公園,1500-1700,3,6,2.0
20221209,芝公園,1500-1700,3,9,3.0
20221210,芝公園,1500-1700,3,45,15.0
20221211,芝公園,1500-1700,3,39,13.0
20221212,芝公園,1500-1700,3,8,2.6666666666666665
20221213,芝公園,1500-1700,3,2,0.6666666666666666
20221214,芝公園,1500-1700,3,6,2.0
20221208,芝公園,1700-1900,3,10,3.3333333333333335
20221209,芝公園,1700-1900,3,5,1.6666666666666667
20221210,芝公園,1700-1900,3,37,12.333333333333334
20221211,芝公園,1700-1900,3,29,9.666666666666666
20221212,芝公園,1700-1900,3,7,2.3333333333333335
20221213,芝公園,1700-1900,3,2,0.6666666666666666
20221214,芝公園,1700-1900,3,7,2.3333333333333335
20221208,芝公園,1900-2100,3,21,7.0
20221209,芝公園,1900-2100,3,27,9.0
20221210,芝公園,1900-2100,3,13,4.333333333333333
20221211,芝公園,1900-2100,3,13,4.333333333333333
20221212,芝公園,1900-2100,3,24,8.0
20221213,芝公園,1900-2100,3,19,6.333333333333333
20221214,芝公園,1900-2100,3,46,15.333333333333334
20221215,芝公園,900-1100,3,8,2.6666666666666665
20221216,芝公園,900-1100,3,8,2.6666666666666665
20221217,芝公園,900-1100,3,56,18.666666666666668
20221221,芝公園,900-1100,3,4,1.3333333333333333
20221215,芝公園,1100-1300,3,21,7.0
20221216,芝公園,1100-1300,3,26,8.666666666666666
20221217,芝公園,1100-1300,3,49,16.333333333333332
20221221,芝公園,1100-1300,3,7,2.3333333333333335
20221215,芝公園,1300-1500,3,18,6.0
20221216,芝公園,1300-1500,3,22,7.333333333333333
20221217,芝公園,1300-1500,3,75,25.0
20221221,芝公園,1300-1500,3,9,3.0
20221215,芝公園,1500-1700,3,11,3.6666666666666665
20221216,芝公園,1500-1700,3,15,5.0
20221217,芝公園,1500-1700,3,50,16.666666666666668
20221221,芝公園,1500-1700,3,7,2.3333333333333335
20221215,芝公園,1700-1900,3,10,3.3333333333333335
20221216,芝公園,1700-1900,3,4,1.3333333333333333
20221217,芝公園,1700-1900,3,22,7.333333333333333
20221218,芝公園,1700-1900,3,48,16.0
20221220,芝公園,1700-1900,3,2,0.6666666666666666
20221221,芝公園,1700-1900,3,4,1.3333333333333333
20221215,芝公園,1900-2100,3,15,5.0
20221216,芝公園,1900-2100,3,15,5.0
20221217,芝公園,1900-2100,3,14,4.666666666666667
20221218,芝公園,1900-2100,3,15,5.0
20221220,芝公園,1900-2100,3,14,4.666666666666667
20221221,芝公園,1900-2100,3,42,14.0
20221222,芝公園,900-1100,3,7,2.3333333333333335
20221223,芝公園,900-1100,3,5,1.6666666666666667
20221224,芝公園,900-1100,3,27,9.0
20221225,芝公園,900-1100,3,37,12.333333333333334
20221227,芝公園,900-1100,3,5,1.6666666666666667
20221228,芝公園,900-1100,3,5,1.6666666666666667
20221222,芝公園,1100-1300,3,15,5.0
20221223,芝公園,1100-1300,3,8,2.6666666666666665
20221224,芝公園,1100-1300,3,22,7.333333333333333
20221225,芝公園,1100-1300,3,39,13.0
20221227,芝公園,1100-1300,3,8,2.6666666666666665
20221228,芝公園,1100-1300,3,9,3.0
20221222,芝公園,1300-1500,3,15,5.0
20221223,芝公園,1300-1500,3,9,3.0
20221224,芝公園,1300-1500,3,53,17.666666666666668
20221225,芝公園,1300-1500,3,38,12.666666666666666
20221226,芝公園,1300-1500,3,9,3.0
20221227,芝公園,1300-1500,3,7,2.3333333333333335
20221228,芝公園,1300-1500,3,12,4.0
20221222,芝公園,1500-1700,3,10,3.3333333333333335
20221223,芝公園,1500-1700,3,5,1.6666666666666667
20221224,芝公園,1500-1700,3,22,7.333333333333333
20221225,芝公園,1500-1700,3,46,15.333333333333334
20221226,芝公園,1500-1700,3,8,2.6666666666666665
20221227,芝公園,1500-1700,3,8,2.6666666666666665
20221228,芝公園,1500-1700,3,11,3.6666666666666665
20221222,芝公園,1700-1900,3,4,1.3333333333333333
20221223,芝公園,1700-1900,3,2,0.6666666666666666
20221224,芝公園,1700-1900,3,32,10.666666666666666
20221225,芝公園,1700-1900,3,11,3.6666666666666665
20221226,芝公園,1700-1900,3,4,1.3333333333333333
20221227,芝公園,1700-1900,3,3,1.0
20221228,芝公園,1700-1900,3,15,5.0
20221222,芝公園,1900-2100,3,10,3.3333333333333335
20221223,芝公園,1900-2100,3,14,4.666666666666667
20221224,芝公園,1900-2100,3,5,1.6666666666666667
20221225,芝公園,1900-2100,3,6,2.0
20221226,芝公園,1900-2100,3,13,4.333333333333333
20221227,芝公園,1900-2100,3,8,2.6666666666666665
20221228,芝公園,1900-2100,3,6,2.0
20221229,芝公園,900-1100,3,13,4.333333333333333
20221230,芝公園,900-1100,3,9,3.0
20221229,芝公園,1100-1300,3,19,6.333333333333333
20221230,芝公園,1100-1300,3,14,4.666666666666667
20221229,芝公園,1300-1500,3,18,6.0
20221230,芝公園,1300-1500,3,17,5.666666666666667
20221229,芝公園,1500-1700,3,21,7.0
20221230,芝公園,1500-1700,3,23,7.666666666666667
20221229,芝公園,1700-1900,3,5,1.6666666666666667
20221230,芝公園,1700-1900,3,10,3.3333333333333335
20221229,芝公園,1900-2100,3,2,0.6666666666666666
20221230,芝公園,1900-2100,3,5,1.6666666666666667
20221202,猿江恩賜公園,900-1100,8,1,0.125
20221203,猿江恩賜公園,900-1100,8,64,8.0
20221204,猿江恩賜公園,900-1100,8,72,9.0
20221205,猿江恩賜公園,900-1100,8,2,0.25
20221206,猿江恩賜公園,900-1100,8,9,1.125
20221207,猿江恩賜公園,900-1100,8,0,0.0
20221201,猿江恩賜公園,1100-1300,8,4,0.5
20221202,猿江恩賜公園,1100-1300,8,4,0.5
20221203,猿江恩賜公園,1100-1300,8,114,14.25
20221204,猿江恩賜公園,1100-1300,8,110,13.75
20221205,猿江恩賜公園,1100-1300,8,14,1.75
20221206,猿江恩賜公園,1100-1300,8,11,1.375
20221207,猿江恩賜公園,1100-1300,8,1,0.125
20221201,猿江恩賜公園,1300-1500,8,1,0.125
20221202,猿江恩賜公園,1300-1500,8,6,0.75
20221203,猿江恩賜公園,1300-1500,8,137,17.125
20221204,猿江恩賜公園,1300-1500,8,130,16.25
20221205,猿江恩賜公園,1300-1500,8,14,1.75
20221206,猿江恩賜公園,1300-1500,8,5,0.625
20221207,猿江恩賜公園,1300-1500,8,13,1.625
20221201,猿江恩賜公園,1500-1700,8,2,0.25
20221202,猿江恩賜公園,1500-1700,8,4,0.5
20221203,猿江恩賜公園,1500-1700,8,116,14.5
20221204,猿江恩賜公園,1500-1700,8,82,10.25
20221205,猿江恩賜公園,1500-1700,8,2,0.25
20221206,猿江恩賜公園,1500-1700,8,3,0.375
20221207,猿江恩賜公園,1500-1700,8,6,0.75
