date,park,time,courts,applications,ratio
20220901,日比谷公園,900-1100,5,14,2.8
20220902,日比谷公園,900-1100,5,11,2.2
20220903,日比谷公園,900-1100,5,71,14.2
20220904,日比谷公園,900-1100,5,113,22.6
20220906,日比谷公園,900-1100,5,9,1.8
20220907,日比谷公園,900-1100,5,15,3.0
20220901,日比谷公園,1100-1300,5,22,4.4
20220902,日比谷公園,1100-1300,5,23,4.6
20220903,日比谷公園,1100-1300,5,82,16.4
20220904,日比谷公園,1100-1300,5,100,20.0
20220905,日比谷公園,1100-1300,5,31,6.2
20220906,日比谷公園,1100-1300,5,29,5.8
20220907,日比谷公園,1100-1300,5,41,8.2
20220901,日比谷公園,1300-1500,5,13,2.6
20220902,日比谷公園,1300-1500,5,18,3.6
20220903,日比谷公園,1300-1500,5,56,11.2
20220904,日比谷公園,1300-1500,5,55,11.0
20220905,日比谷公園,1300-1500,5,6,1.2
20220906,日比谷公園,1300-1500,5,44,8.8
20220907,日比谷公園,1300-1500,5,27,5.4
20220901,日比谷公園,1500-1700,5,11,2.2
20220902,日比谷公園,1500-1700,5,9,1.8
20220903,日比谷公園,1500-1700,5,81,16.2
20220904,日比谷公園,1500-1700,5,80,16.0
20220905,日比谷公園,1500-1700,5,7,1.4
20220906,日比谷公園,1500-1700,5,6,1.2
20220907,日比谷公園,1500-1700,5,2,0.4
20220901,日比谷公園,1700-1900,5,12,2.4
20220902,日比谷公園,1700-1900,5,8,1.6
20220903,日比谷公園,1700-1900,5,84,16.8
20220904,日比谷公園,1700-1900,5,44,8.8
20220905,日比谷公園,1700-1900,5,24,4.8
20220906,日比谷公園,1700-1900,5,9,1.8
20220907,日比谷公園,1700-1900,5,13,2.6
20220901,日比谷公園,1900-2100,5,54,10.8
20220902,日比谷公園,1900-2100,5,34,6.8
20220903,日比谷公園,1900-2100,5,33,6.6
20220904,日比谷公園,1900-2100,5,57,11.4
20220905,日比谷公園,1900-2100,5,27,5.4
20220906,日比谷公園,1900-2100,5,34,6.8
20220907,日比谷公園,1900-2100,5,39,7.8
20220908,日比谷公園,900-1100,5,13,2.6
20220909,日比谷公園,900-1100,5,9,1.8
20220910,日比谷公園,900-1100,5,102,20.4
20220911,日比谷公園,900-1100,5,76,15.2
20220912,日比谷公園,900-1100,5,3,0.6
20220913,日比谷公園,900-1100,5,10,2.0
20220914,日比谷公園,900-1100,5,19,3.8
20220908,日比谷公園,1100-1300,5,10,2.0
20220909,日比谷公園,1100-1300,5,24,4.8
20220910,日比谷公園,1100-1300,5,60,12.0
20220911,日比谷公園,1100-1300,5,100,20.0
20220912,日比谷公園,1100-1300,5,28,5.6
20220913,日比谷公園,1100-1300,5,35,7.0
20220914,日比谷公園,1100-1300,5,67,13.4
20220908,日比谷公園,1300-1500,5,16,3.2
20220909,日比谷公園,1300-1500,5,7,1.4
20220910,日比谷公園,1300-1500,5,78,15.6
20220911,日比谷公園,1300-1500,5,76,15.2
20220912,日比谷公園,1300-1500,5,17,3.4
20220913,日比谷公園,1300-1500,5,16,3.2
20220914,日比谷公園,1300-1500,5,63,12.6
20220908,日比谷公園,1500-1700,5,3,0.6
20220909,日比谷公園,1500-1700,5,5,1.0
20220910,日比谷公園,1500-1700,5,81,16.2
20220911,日比谷公園,1500-1700,5,68,13.6
20220912,日比谷公園,1500-1700,5,6,1.2
20220913,日比谷公園,1500-1700,5,13,2.6
20220914,日比谷公園,1500-1700,5,5,1.0
20220908,日比谷公園,1700-1900,5,10,2.0
20220909,日比谷公園,1700-1900,5,20,4.0
20220910,日比谷公園,1700-1900,5,53,10.6
20220911,日比谷公園,1700-1900,5,128,25.6
20220912,日比谷公園,1700-1900,5,25,5.0
20220913,日比谷公園,1700-1900,5,22,4.4
20220914,日比谷公園,1700-1900,5,14,2.8
20220908,日比谷公園,1900-2100,5,57,11.4
20220909,日比谷公園,1900-2100,5,84,16.8
20220910,日比谷公園,1900-2100,5,44,8.8
20220911,日比谷公園,1900-2100,5,122,24.4
20220912,日比谷公園,1900-2100,5,29,5.8
20220913,日比谷公園,1900-2100,5,52,10.4
20220914,日比谷公園,1900-2100,5,43,8.6
20220915,日比谷公園,900-1100,5,24,4.8
20220916,日比谷公園,900-1100,5,11,2.2
20220917,日比谷公園,900-1100,5,75,15.0
20220918,日比谷公園,900-1100,5,83,16.6
20220919,日比谷公園,900-1100,5,71,14.2
20220921,日比谷公園,900-1100,5,18,3.6
20220915,日比谷公園,1100-1300,5,70,14.0
20220916,日比谷公園,1100-1300,5,37,7.4
20220917,日比谷公園,1100-1300,5,127,25.4
20220918,日比谷公園,1100-1300,5,69,13.8
20220919,日比谷公園,1100-1300,5,60,12.0
20220920,日比谷公園,1100-1300,5,17,3.4
20220921,日比谷公園,1100-1300,5,73,14.6
20220915,日比谷公園,1300-1500,5,50,10.0
20220916,日比谷公園,1300-1500,5,22,4.4
20220917,日比谷公園,1300-1500,5,107,21.4
20220918,日比谷公園,1300-1500,5,53,10.6
20220919,日比谷公園,1300-1500,5,54,10.8
20220920,日比谷公園,1300-1500,5,57,11.4
20220921,日比谷公園,1300-1500,5,50,10.0
20220915,日比谷公園,1500-1700,5,26,5.2
20220916,日比谷公園,1500-1700,5,17,3.4
20220917,日比谷公園,1500-1700,5,81,16.2
20220918,日比谷公園,1500-1700,5,71,14.2
20220919,日比谷公園,1500-1700,5,66,13.2
20220920,日比谷公園,1500-1700,5,23,4.6
20220921,日比谷公園,1500-1700,5,15,3.0
20220915,日比谷公園,1700-1900,5,21,4.2
20220916,日比谷公園,1700-1900,5,18,3.6
20220917,日比谷公園,1700-1900,5,60,12.0
20220918,日比谷公園,1700-1900,5,49,9.8
20220919,日比谷公園,1700-1900,5,38,7.6
20220920,日比谷公園,1700-1900,5,50,10.0
20220921,日比谷公園,1700-1900,5,26,5.2
20220915,日比谷公園,1900-2100,5,42,8.4
20220916,日比谷公園,1900-2100,5,84,16.8
20220917,日比谷公園,1900-2100,5,41,8.2
20220918,日比谷公園,1900-2100,5,27,5.4
20220919,日比谷公園,1900-2100,5,36,7.2
20220920,日比谷公園,1900-2100,5,48,9.6
20220921,日比谷公園,1900-2100,5,50,10.0
20220922,日比谷公園,900-1100,5,16,3.2
20220923,日比谷公園,900-1100,5,52,10.4
20220924,日比谷公園,900-1100,5,64,12.8
20220925,日比谷公園,900-1100,5,98,19.6
20220926,日比谷公園,900-1100,5,5,1.0
20220927,日比谷公園,900-1100,5,8,1.6
20220928,日比谷公園,900-1100,5,15,3.0
20220922,日比谷公園,1100-1300,5,18,3.6
20220923,日比谷公園,1100-1300,5,61,12.2
20220924,日比谷公園,1100-1300,5,77,15.4
20220925,日比谷公園,1100-1300,5,121,24.2
20220926,日比谷公園,1100-1300,5,18,3.6
20220927,日比谷公園,1100-1300,5,41,8.2
20220928,日比谷公園,1100-1300,5,62,12.4
20220922,日比谷公園,1300-1500,5,23,4.6
20220923,日比谷公園,1300-1500,5,58,11.6
20220924,日比谷公園,1300-1500,5,54,10.8
20220925,日比谷公園,1300-1500,5,92,18.4
20220926,日比谷公園,1300-1500,5,63,12.6
20220927,日比谷公園,1300-1500,5,34,6.8
20220928,日比谷公園,1300-1500,5,31,6.2
20220922,日比谷公園,1500-1700,5,10,2.0
20220923,日比谷公園,1500-1700,5,57,11.4
20220924,日比谷公園,1500-1700,5,82,16.4
20220925,日比谷公園,1500-1700,5,80,16.0
20220926,日比谷公園,1500-1700,5,12,2.4
20220927,日比谷公園,1500-1700,5,32,6.4
20220928,日比谷公園,1500-1700,5,4,0.8
20220922,日比谷公園,1700-1900,5,13,2.6
20220923,日比谷公園,1700-1900,5,40,8.0
20220924,日比谷公園,1700-1900,5,66,13.2
20220925,日比谷公園,1700-1900,5,37,7.4
20220926,日比谷公園,1700-1900,5,30,6.0
20220927,日比谷公園,1700-1900,5,15,3.0
20220928,日比谷公園,1700-1900,5,69,13.8
20220922,日比谷公園,1900-2100,5,45,9.0
20220923,日比谷公園,1900-2100,5,30,6.0
20220924,日比谷公園,1900-2100,5,31,6.2
20220925,日比谷公園,1900-2100,5,40,8.0
20220926,日比谷公園,1900-2100,5,35,7.0
20220927,日比谷公園,1900-2100,5,34,6.8
20220928,日比谷公園,1900-2100,5,50,10.0
20220929,日比谷公園,900-1100,5,15,3.0
20220930,日比谷公園,900-1100,5,9,1.8
20220929,日比谷公園,1100-1300,5,9,1.8
20220930,日比谷公園,1100-1300,5,26,5.2
20220929,日比谷公園,1300-1500,5,28,5.6
20220930,日比谷公園,1300-1500,5,9,1.8
20220929,日比谷公園,1500-1700,5,17,3.4
20220930,日比谷公園,1500-1700,5,14,2.8
20220929,日比谷公園,1700-1900,5,18,3.6
20220930,日比谷公園,1700-1900,5,51,10.2
20220929,日比谷公園,1900-2100,5,52,10.4
20220930,日比谷公園,1900-2100,5,42,8.4
20220901,芝公園,900-1100,3,18,6.0
20220902,芝公園,900-1100,3,5,1.6666666666666667
20220903,芝公園,900-1100,3,32,10.666666666666666
20220904,芝公園,900-1100,3,37,12.333333333333334
20220906,芝公園,900-1100,3,5,1.6666666666666667
20220907,芝公園,900-1100,3,9,3.0
20220901,芝公園,1100-1300,3,5,1.6666666666666667
20220902,芝公園,1100-1300,3,9,3.0
20220903,芝公園,1100-1300,3,27,9.0
20220904,芝公園,1100-1300,3,43,14.333333333333334
20220906,芝公園,1100-1300,3,10,3.3333333333333335
20220907,芝公園,1100-1300,3,8,2.6666666666666665
20220901,芝公園,1300-1500,3,6,2.0
20220902,芝公園,1300-1500,3,6,2.0
20220903,芝公園,1300-1500,3,24,8.0
20220904,芝公園,1300-1500,3,42,14.0
20220906,芝公園,1300-1500,3,12,4.0
20220907,芝公園,1300-1500,3,5,1.6666666666666667
20220901,芝公園,1500-1700,3,21,7.0
20220902,芝公園,1500-1700,3,7,2.3333333333333335
20220903,芝公園,1500-1700,3,35,11.666666666666666
20220904,芝公園,1500-1700,3,46,15.333333333333334
20220906,芝公園,1500-1700,3,14,4.666666666666667
20220907,芝公園,1500-1700,3,10,3.3333333333333335
20220901,芝公園,1700-1900,3,5,1.6666666666666667
20220902,芝公園,1700-1900,3,2,0.6666666666666666
